rank,symbol,name,exchange,is_st,is_tradable,pred_score,close,factor_bp,factor_ep,factor_roe,factor_mom_12_1,factor_gross_margin
1,920093,信胜科技,bj,False,True,2.1357524043018405,19.39,0.23789699060306888,0.08147037737078798,17.3709,,27.4956
2,920165,珈凯生物,bj,False,True,1.2617925130157597,36.19,0.2753834714840415,0.04282746953896229,8.1399,,64.5131
3,920786,骑士乳业,bj,False,True,1.180046971914422,7.0,0.5315190815350271,0.0491460867428431,5.11,-0.47067999834815577,15.4736
4,920176,维琪科技,bj,False,True,1.0473832625697561,53.49,0.20382373323549793,0.029450136501382684,6.7859,,70.2125
5,920059,双英集团,bj,False,True,1.0422294908061518,14.96,0.3380776902532202,0.057368067786108895,4.5487,,14.3565
6,920344,三元基因,bj,False,True,0.9897968869527745,24.6,0.20925317541693694,0.006159353563524801,0.1706,-0.4071263609369845,81.399
7,920425,乐创技术,bj,False,True,0.9161728600600374,14.02,0.20345052083333334,0.03644049267546097,13.578,-0.20437363998031277,70.2607
8,920107,恒兴股份,bj,False,True,0.894195188810233,20.7,0.3942906710827222,0.0639979520655339,8.7709,,35.2569
9,920429,康比特,bj,False,True,0.860262707700192,10.37,0.6467886941336265,0.037235349751640216,2.8209,-0.6327563254186523,40.274
10,920971,天马新材,bj,False,True,0.8462056562153023,25.4,0.17889087656529518,0.016083479692998538,2.6818,-0.3880551483924096,21.1747
11,920571,国航远洋,bj,False,True,0.8263964039066771,9.2,0.26628321883154926,0.034500841820540425,9.1412,-0.24098477310727928,36.127
12,920957,汉维科技,bj,False,True,0.8240879664994402,9.51,0.3887118090647594,0.008351686163678016,3.0865,-0.43381701439027975,13.0232
13,688021,奥福科技,sh,False,True,0.7922977161295497,20.4,0.5663797009515179,0.022603927206312827,2.05,-0.10355815188528938,
14,920111,聚星科技,bj,False,True,0.7217869018268193,29.09,0.24417639302632224,0.05531371171599728,18.0484,-0.12177547321993731,22.7613
15,920118,太湖远大,bj,False,True,0.6774982407759254,20.56,0.5622083544161467,0.05348737697903294,7.7081,-0.37748456814091724,12.32
16,920026,卓兆点胶,bj,False,True,0.6649990574253704,20.93,0.26321330806485577,0.017576514963766013,2.747,-0.28154461056480007,55.1445
17,920038,森合高科,bj,False,True,0.5439170726340411,39.3,0.19825928349094948,0.06629673090819892,7.2363,,47.9119
18,920866,绿亨科技,bj,False,True,0.50565025985218,6.15,0.7030371203599549,0.032325217548714105,1.7869,-0.4424783136955722,41.2559
19,920856,浩淼科技,bj,False,True,0.48859575827613155,12.96,0.3804885472947264,0.0041068503907257465,0.6071,-0.5327717446100777,24.044
20,920258,聚仁新材,bj,False,True,0.45951277251466444,11.52,0.17592006192386178,0.02643062357770207,11.4809,,39.7009
21,920138,杰理科技,bj,False,True,0.44331049717198584,37.75,0.2644173563552712,0.03644142223582702,6.9255,,32.2557
22,920422,润普食品,bj,False,True,0.36150893201279904,9.19,0.5366246310705661,0.02908253332131255,1.6763,-0.3692422028274356,13.4834
23,920679,前进科技,bj,False,True,0.35085217601379765,15.1,0.6019382411364594,0.02951053821319593,0.8153,-0.3479713094707332,32.4306
24,920065,千岸科技,bj,False,True,0.3273648320487934,33.0,0.26848520646512375,0.07249055810480685,14.9763,,47.6082
25,920021,流金科技,bj,False,True,0.28339845549357,6.45,0.3237084034701541,0.007756273079760083,1.0163,-0.1977629328693159,27.8019
26,920809,安达科技,bj,False,True,0.24620832056922218,7.7,0.368962845441464,0.009830550795930546,8.1972,0.33032490974729245,12.0354
27,920553,凯腾精工,bj,False,True,0.24132660290197366,6.98,0.3566333808844508,0.027234005468588295,0.6604,-0.39610530309889125,31.0246
28,920017,星昊医药,bj,False,True,0.1275722315088864,16.27,0.8098477486232589,0.05715134820030405,3.2405,-0.28119381844292857,70.2866
29,920779,武汉蓝电,bj,False,True,0.1182023767202439,25.47,0.22454249466711576,0.027133802205435445,4.6611,-0.5587968197778013,55.5946
30,920471,美邦科技,bj,False,True,0.1145839036473634,12.01,0.5167958656330749,,3.3658,-0.31565489680179515,22.4076
31,920167,同享科技,bj,False,True,0.0721210764949114,14.4,0.41995632454224757,0.038807371848356316,5.6444,-0.2776964202677302,8.6752
32,920694,中裕科技,bj,False,True,0.05321958943435404,16.03,0.44422726666962814,0.05989781432875514,9.7612,-0.392241658703819,49.2559
33,300417,南华仪器,sz,False,True,0.02476507769566451,10.97,0.30721022395625325,,-0.65,-0.35596854896354546,
34,920906,舜宇精工,bj,False,True,0.013561219391498448,15.46,0.5725409366769725,0.03133244349193816,0.0749,-0.35073372112849266,18.0854
35,688329,艾隆科技,sh,False,True,0.00032574432622076155,20.21,0.48400367842795605,0.006163252224934052,-3.06,-0.26473296500920807,
36,688659,元琛科技,sh,False,True,-0.008763034729420999,10.46,0.30913812291331766,,-5.97,-0.2754275427542753,
37,920099,瑞华技术,bj,False,True,-0.042348143231271715,17.76,0.5283736658564937,0.036710989067467455,-2.3065,-0.26203237732628315,28.2417
38,920768,拾比佰,bj,False,True,-0.04736255782395035,6.97,0.6661337596589395,0.0542408183854678,5.2345,-0.2005915652139928,10.6762
39,920476,海能技术,bj,False,True,-0.05371026695168159,25.45,0.19774569903104605,0.021053207772002182,2.5208,0.09804381357858749,62.9648
40,920981,晶赛科技,bj,False,True,-0.05374316462675702,28.52,0.23666398447484263,0.006988007879677684,1.6121,-0.2155586987270156,13.0223
41,920641,格利尔,bj,False,True,-0.06569703260895966,13.9,0.33392326443383313,0.00518827470669386,3.2551,-0.3712237082334048,20.3368
42,920419,路斯股份,bj,False,True,-0.06903153752638111,10.43,0.5807200929152149,0.05040449608105043,4.0029,-0.5674945925689099,20.0917
43,920207,众诚科技,bj,False,True,-0.07040279613984643,20.65,0.15290753681248948,0.011984731452129986,2.3832,-0.3238895222135839,21.7238
44,920206,彩客科技,bj,False,True,-0.07428512992493831,47.41,0.2602540079117218,0.043002984407117854,11.7019,,41.2347
45,920735,德源药业,bj,False,True,-0.07509250256420892,23.94,0.4258037044922291,0.0796267099835969,9.5462,-0.34423417276615165,82.0636
46,300500,启迪设计,sz,False,True,-0.07881790142904432,9.44,0.6065752759917505,,-9.52,-0.48841698841698833,
47,920174,五新智能,bj,False,True,-0.0987190308400548,28.54,0.43096017927943464,0.036998804938600485,2.2283,-0.6149280052496015,30.7461
48,920249,利尔达,bj,False,True,-0.11578824767791412,9.07,0.21260311250956715,0.020695578389677047,6.0261,-0.41967871485943775,15.357
49,920964,润农节水,bj,False,True,-0.11941140464469306,4.61,0.7248477819657873,,0.3414,-0.5176470588235295,17.1001
50,920639,晨光电缆,bj,False,True,-0.1582485666008433,6.05,0.7026419336706015,0.016745566192711326,0.8137,-0.3439602865296626,10.7603
51,920819,颖泰生物,bj,False,True,-0.18650241917026228,2.97,1.3073604392731075,,0.1198,-0.37889688249400477,14.1863
52,920239,长虹能源,bj,False,True,-0.2025640971398293,22.05,0.28663972253274855,0.0641885603147807,24.9781,-0.3874334772962844,16.5464
53,920092,汉鑫科技,bj,False,True,-0.20782344952549928,27.26,0.20737852802720808,,-0.7468,-0.5221445221445221,30.2876
54,689009,九号公司,sh,False,True,-0.21713923801384782,43.41,0.23028209556706963,0.04773611475761988,13.71,-0.3860327850273967,
55,920670,数字人,bj,False,True,-0.244225849435178,12.35,0.1793882859449278,0.00312665224029323,-3.2921,-0.2127479398948714,69.2321
56,920726,朱老六,bj,False,True,-0.2556023621668236,16.16,0.28535555301906174,0.024052164334007593,6.7403,-0.3042072703900175,37.9349
57,688573,信宇人,sh,False,True,-0.26651309220037067,16.25,0.2177131411652007,,-123.43,-0.5528641571194763,
58,920685,新芝生物,bj,False,True,-0.2698683436549442,11.67,0.5293806246691372,0.03339065395595773,6.4147,-0.34893480541968647,63.2009
59,600561,江西长运,sh,False,True,-0.2985823833145293,5.66,0.5658348893792791,0.008973809040933133,-3.08,-0.3156384505021521,
60,688004,博汇科技,sh,False,True,-0.300974722551502,21.2,0.3304801877127466,,-3.7,-0.22536317235963876,
61,920186,中科仪,bj,False,True,-0.3063406154885212,74.12,0.1594616574444675,0.060208683296305,6.7028,,31.7949
62,920974,凯大催化,bj,False,True,-0.31727847999187975,6.07,0.6625149065853981,0.034072246792097964,2.8959,-0.38011049723756907,8.2779
63,920976,视声智能,bj,False,True,-0.3299043799446276,16.23,0.253665465983461,0.05640253360180939,13.8021,-0.4340259069322474,53.9229
64,920415,恒拓开源,bj,False,True,-0.38813957404654764,8.43,0.47140904162541836,0.023496295808965718,0.2384,-0.4914783395023412,52.1157
