rank,symbol,name,exchange,is_st,is_tradable,pred_score,close,factor_bp,factor_ep,factor_roe,factor_mom_12_1,factor_gross_margin,unrealized_gain_pct,disposition_flag,dt_count,crowding_flag,divergence_flag,conflict_flag
1,920093,信胜科技,bj,False,True,2.1357524043018405,19.39,0.23789699060306888,0.08147037737078798,17.3709,,27.4956,,,1,大单20日内净卖出方向高度一致(拥挤度1.00),大小单方向一致，无背离信号,无冲突
2,920165,珈凯生物,bj,False,True,1.2617925130157597,36.19,0.2753834714840415,0.04282746953896229,8.1399,,64.5131,,,3,近40日上榜龙虎榜3次(游资高度关注),大单买入小单卖出(近5日大单净流入560万元，小单净流出778万元),游资高频出没
3,920786,骑士乳业,bj,False,True,1.180046971914422,7.0,0.5315190815350271,0.0491460867428431,5.11,-0.47067999834815577,15.4736,-0.9898,浮亏筹码集中(处置效应下惜售，下跌可能缩量但反弹也乏力),0,无明显拥挤信号,大小单方向一致，无背离信号,无冲突
4,920176,维琪科技,bj,False,True,1.0473832625697561,53.49,0.20382373323549793,0.029450136501382684,6.7859,,70.2125,-0.9923,浮亏筹码集中(处置效应下惜售，下跌可能缩量但反弹也乏力),14,近40日上榜龙虎榜14次(游资高度关注),大单买入小单卖出(近5日大单净流入286万元，小单净流出594万元),游资高频出没
5,920059,双英集团,bj,False,True,1.0422294908061518,14.96,0.3380776902532202,0.057368067786108895,4.5487,,14.3565,,,3,近40日上榜龙虎榜3次(游资高度关注),大小单方向一致，无背离信号,游资高频出没
6,920344,三元基因,bj,False,True,0.9897968869527745,24.6,0.20925317541693694,0.006159353563524801,0.1706,-0.4071263609369845,81.399,-0.9883,浮亏筹码集中(处置效应下惜售，下跌可能缩量但反弹也乏力),2,无明显拥挤信号,大小单方向一致，无背离信号,无冲突
7,920425,乐创技术,bj,False,True,0.9161728600600374,14.02,0.20345052083333334,0.03644049267546097,13.578,-0.20437363998031277,70.2607,-0.9934,浮亏筹码集中(处置效应下惜售，下跌可能缩量但反弹也乏力),0,无明显拥挤信号,大小单方向一致，无背离信号,无冲突
8,920107,恒兴股份,bj,False,True,0.894195188810233,20.7,0.3942906710827222,0.0639979520655339,8.7709,,35.2569,,,2,大单20日内净卖出方向高度一致(拥挤度1.00),大小单方向一致，无背离信号,无冲突
9,920429,康比特,bj,False,True,0.860262707700192,10.37,0.6467886941336265,0.037235349751640216,2.8209,-0.6327563254186523,40.274,-0.9897,浮亏筹码集中(处置效应下惜售，下跌可能缩量但反弹也乏力),0,无明显拥挤信号,大单买入小单卖出(近5日大单净流入1154万元，小单净流出335万元),无冲突
10,920971,天马新材,bj,False,True,0.8462056562153023,25.4,0.17889087656529518,0.016083479692998538,2.6818,-0.3880551483924096,21.1747,-0.9929,浮亏筹码集中(处置效应下惜售，下跌可能缩量但反弹也乏力),0,无明显拥挤信号,大小单方向一致，无背离信号,无冲突
11,920571,国航远洋,bj,False,True,0.8263964039066771,9.2,0.26628321883154926,0.034500841820540425,9.1412,-0.24098477310727928,36.127,-0.9898,浮亏筹码集中(处置效应下惜售，下跌可能缩量但反弹也乏力),0,无明显拥挤信号,大小单方向一致，无背离信号,无冲突
12,920957,汉维科技,bj,False,True,0.8240879664994402,9.51,0.3887118090647594,0.008351686163678016,3.0865,-0.43381701439027975,13.0232,-0.9897,浮亏筹码集中(处置效应下惜售，下跌可能缩量但反弹也乏力),0,无明显拥挤信号,大单买入小单卖出(近5日大单净流入57万元，小单净流出8万元),无冲突
13,688021,奥福科技,sh,False,True,0.7922977161295497,20.4,0.5663797009515179,0.022603927206312827,2.05,-0.10355815188528938,,0.0011,筹码成本与现价接近，处置效应影响不明显,0,无明显拥挤信号,大单买入小单卖出(近5日大单净流入154万元，小单净流出757万元),无冲突
14,920111,聚星科技,bj,False,True,0.7217869018268193,29.09,0.24417639302632224,0.05531371171599728,18.0484,-0.12177547321993731,22.7613,-0.9908,浮亏筹码集中(处置效应下惜售，下跌可能缩量但反弹也乏力),0,无明显拥挤信号,大小单方向一致，无背离信号,无冲突
15,920118,太湖远大,bj,False,True,0.6774982407759254,20.56,0.5622083544161467,0.05348737697903294,7.7081,-0.37748456814091724,12.32,-0.9893,浮亏筹码集中(处置效应下惜售，下跌可能缩量但反弹也乏力),0,无明显拥挤信号,大单买入小单卖出(近5日大单净流入196万元，小单净流出341万元),无冲突
16,920026,卓兆点胶,bj,False,True,0.6649990574253704,20.93,0.26321330806485577,0.017576514963766013,2.747,-0.28154461056480007,55.1445,-0.9909,浮亏筹码集中(处置效应下惜售，下跌可能缩量但反弹也乏力),0,无明显拥挤信号,大单买入小单卖出(近5日大单净流入1660万元，小单净流出53万元),无冲突
17,920038,森合高科,bj,False,True,0.5439170726340411,39.3,0.19825928349094948,0.06629673090819892,7.2363,,47.9119,,,3,近40日上榜龙虎榜3次(游资高度关注),大小单方向一致，无背离信号,游资高频出没
18,920866,绿亨科技,bj,False,True,0.50565025985218,6.15,0.7030371203599549,0.032325217548714105,1.7869,-0.4424783136955722,41.2559,-0.9899,浮亏筹码集中(处置效应下惜售，下跌可能缩量但反弹也乏力),0,无明显拥挤信号,大小单方向一致，无背离信号,无冲突
19,920856,浩淼科技,bj,False,True,0.48859575827613155,12.96,0.3804885472947264,0.0041068503907257465,0.6071,-0.5327717446100777,24.044,-0.9887,浮亏筹码集中(处置效应下惜售，下跌可能缩量但反弹也乏力),2,无明显拥挤信号,大小单方向一致，无背离信号,无冲突
