factor,n_periods,ic_mean,ic_ir,rank_ic_mean,rank_ic_ir,pct_ic_positive,long_short_mean_monthly,long_short_annualized,long_short_ir,long_short_t_stat
factor_bp,127,0.0226,0.165,0.0651,0.381,0.52,0.0094,0.1122,0.559,1.818
factor_ep,127,0.0168,0.125,0.0511,0.32,0.52,0.0072,0.0864,0.474,1.543
factor_sp,127,0.0112,0.122,0.0482,0.328,0.504,0.0073,0.0876,0.509,1.656
factor_earnings_growth,127,0.0033,0.058,0.0155,0.152,0.504,0.0069,0.0834,0.721,2.346
factor_roe,127,0.0063,0.07,0.0117,0.092,0.52,0.0179,0.2145,0.386,1.256
factor_gross_margin,127,-0.0004,-0.005,0.0005,0.004,0.496,-0.0027,-0.0319,-0.132,-0.424
factor_low_leverage,127,-0.0027,-0.033,-0.0071,-0.067,0.496,-0.0001,-0.0016,-0.016,-0.051
factor_mom_12_1,127,-0.005,-0.038,-0.0111,-0.076,0.496,0.001,0.0116,0.065,0.212
factor_size,127,-0.0297,-0.215,-0.0358,-0.199,0.394,-0.0169,-0.2027,-1.041,-3.388
factor_rev_1m,127,-0.0388,-0.279,-0.0561,-0.386,0.394,-0.0237,-0.2842,-0.501,-1.63
factor_vol_20,127,-0.0304,-0.198,-0.0921,-0.52,0.48,0.0049,0.0592,0.099,0.321
factor_amp_20,127,-0.0325,-0.207,-0.0944,-0.508,0.449,-0.0251,-0.3006,-0.53,-1.724
factor_turnover_20,126,-0.0642,-0.473,-0.1008,-0.545,0.349,-0.0201,-0.241,-1.105,-3.582
